country;population;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol13;newCol14;newCol15;newCol16;newCol17;newCol18;newCol
colombia;47761000;4,5569E7;3,8580949E7;4,3593035E7;;;4,5013672E7;4,56E7;;;;4,2954279E7;;4,6300196E7;;;4,56E7;;4,4508E7;4,3677372E7;4,5569E7
comoros;743798;;;;;;731775,0;7980006,0;;;;671247,0;;675000,0;;614382,0;7980006,0;;;752438,0;731775,0
costa rica;4667096;4640000,0;3604642,0;4075261,0;;;4195914,0;4401000,0;;;;4016173,0;;4639827,0;;;4401000,0;;4513000,0;4253877,0;4640000,0
croatia;4267558;4435056,0;4671584,0;4494749,0;;;4491543,0;4551000,0;;4483804,0;;4495904,0;;4430003,0;4443350,0;;4551000,0;;5259000,0;4489409,0;4435056,0
cuba;11167325;1,1204E7;;1,138282E7;;;1,1423952E7;1,1269E7;;1,108733E7;;1,134667E7;;;1,1394043E7;;1,1269E7;;1,2544E7;;1,1204E7
cyprus;865878;;614165,0;784301,0;;;792604,0;835000,0;;1120489,0;;780133,0;;879723,0;;;835000,0;;;1084748,0;614165,0
czech republic;10517400;1,0512397E7;1,028647E7;1,0235455E7;;;1,0220911E7;1,022E7;;;;1,0241138E7;;1,053492E7;;;1,022E7;;1,0284E7;1,0211904E7;1,0512397E7
democratic republic congo;77433744;;;;;;;;;;;;;;;;;;;;
djibouti;886000;;;;;;506221,0;793000,0;;757074,0;;476703,0;;879053,0;496374,0;472810,0;793000,0;;;724622,0;506221,0
dominica;71293000;;;;;;72514,0;79000,0;;;;69029,0;;74000,0;;;79000,0;;;;72514,0
dominican republic;10378267;1,0225E7;;;;;9507133,0;8895000,0;;;;9049595,0;;1,0225482E7;;;8895000,0;;9344000,0;9650054,0;1,0225E7
east timor;1212107;;;1062777,0;;;;947000,0;;;;1040880,0;;;;;947000,0;;;1131612,0;1062777,0
ecuador;15821500;1,4228E7;1,2336572E7;1,354751E7;;;1,392765E7;1,3228E7;;1,5007343E7;;1,3363593E7;;1,3774909E7;;;1,3228E7;;1,3112E7;1,4573101E7;1,4228E7
egypt;87118500;7,8848E7;6,6050004E7;7,8887007E7;;;8,171352E7;7,4033E7;;8,171352E7;;7,7505756E7;;;;7,0712345E7;7,4033E7;;;7,8866635E7;7,8848E7
el salvador;6401240;6194000,0;;6822378,0;;;7066403,0;6881000,0;;6071774,0;;6704932,0;;6194126,0;6948073,0;;6881000,0;;7144000,0;7185218,0;6194000,0
equatorial guinea;1622000;;;;;;616459,0;504000,0;;;;529034,0;;693385,0;;498144,0;504000,0;;;633441,0;616459,0
eritrea;6536000;5224000,0;;;;;5502026,0;4401000,0;;;;4669638,0;;5223994,0;;4465651,0;4401000,0;;;5647168,0;5224000,0
estonia;1315819;;1421335,0;1324333,0;;;1307605,0;1330000,0;;;;1332893,0;;1340200,0;;;1330000,0;;;1299371,0;1421335,0
