country;population;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol6;newCol7;newCol8;newCol9;newCol10;newCol11;newCol12;newCol13;newCol14;newCol15;newCol16;newCol17;newCol18;newCol
switzerland;8160900;7782900,0;7260357,0;7523934,0;;;7581520,0;7252000,0;;7639961,0;;7489370,0;;7790010,0;7508700,0;;7252000,0;;6914000,0;7604467,0;7782900,0
syria;21987000;2,2505E7;1,6673282E7;1,8881361E7;;;1,9747586E7;1,9043E7;;1,9747586E7;;1,8448752E7;;;1,904338E7;;1,9043E7;;;;2,2505E7
taiwan;23398263;;2,1908135E7;;5500000,0;;2,2920946E7;;5500000,0;2,3071779E7;785000,0;2,2894384E7;;;2,2858872E7;;;;;2,2974347E7;2,1908135E7
tajikistan;8160000;7075000,0;;7320815,0;;;7211884,0;6507000,0;;;;7163506,0;;7074845,0;;;6507000,0;;;7349145,0;7075000,0
tanzania;49639138;4,504E7;;;;;4,021316E7;3,8329E7;;;;3,6766356E7;;4,5039573E7;;3,7187939E7;3,8329E7;;3,9204E7;4,1048532E7;4,504E7
thailand;67367943;6,3525062E7;6,0037366E7;6,4631595E7;;;6,5493296E7;6,4233E7;;6,6720153E7;;6,4185502E7;;6,8139238E7;6,423276E7;;6,4233E7;;;6,5998436E7;6,3525062E7
togo;6993000;6780000,0;;;;;5858673,0;6145000,0;;;;5399991,0;;6780030,0;;5285501,0;6145000,0;;5968000,0;6031808,0;6780000,0
tonga;103036;;;;;;119009,0;102000,0;;105916,0;;112422,0;;104260,0;116921,0;;102000,0;;;;119009,0
transnistria;505153;;;;;;;;;;;;;;;;;;;;
trinidad tobago;1328019;;1116595,0;1065842,0;;;;;;;;;;;;;;;;;1116595,0
tunisia;10886500;1,04325E7;9380404,0;1,0175014E7;;;1,0383577E7;1,0102E7;;;;1,0074951E7;;1,05351E7;;9815644,0;1,0102E7;;;1,0486339E7;1,04325E7
turkey;81619392;7,2561312E7;6,4566511E7;7,0413958E7;;;7,1892808E7;7,3193E7;;7,8785548E7;;6,9660559E7;;7,5705147E7;7,1158647E7;;7,3193E7;;;7,6805524E7;7,2561312E7
turkmenistan;5307000;5177000,0;;5,042;;;5179571,0;4833000,0;;;;4952081,0;;;;;4833000,0;;;4884887,0;5177000,0
tuvalu;11323;;;;;;12177,0;10000,0;;;;11636,0;;;;;10000,0;;;;12177,0
uganda;35357000;3,3796E7;;;;;3,1367972E7;2,8816E7;;;;2,7269482E7;;3,3796461E7;;2,4699073E7;2,8816E7;;2,6537E7;;3,3796E7
ukraine;42988026;4,5871738E7;5,0125108E7;4,6710816E7;;;4,5994288E7;4,6481E7;;;;4,6996765E7;;4,5759961E7;;;4,6481E7;;6,4915E7;;4,5871738E7
united arab emirates;9446000;4707000,0;;;;;4621399,0;4496000,0;;;;2563212,0;;4707307,0;;;4496000,0;;;4798491,0;4707000,0
united kingdom;64105700;6,2041708E7;5,8970119E7;6,0609153E7;;;6,0943912E7;5,9668E7;;6,2698362E7;;6,0441457E7;;6,224661E7;6,0776238E7;;5,9668E7;;;;6,2041708E7
united states;318707000;;2,70311756E8;2,98444215E8;;;;2,98213E8;;3,13232044E8;;2,95734134E8;;3,09712E8;2,964104E8;;2,98213E8;;;;2,70311756E8
uruguay;3286314;3372000,0;3284841,0;;;;3477778,0;3463000,0;;;;3415920,0;;3356584,0;;;3463000,0;;3176000,0;3494382,0;3372000,0
uzbekistan;30492800;2,7794E7;;2,7307134E7;;;2,7345026E7;2,6593E7;;;;2,6851195E7;;2,8160361E7;;;2,6593E7;;;2,7606007E7;2,7794E7
vanuatu;264652;;;;;;215446,0;211000,0;;224564,0;;205754,0;;239651,0;211971,0;;211000,0;;;;215446,0
vatican city;839;;;;;;;1000,0;;;;;;;;;1000,0;;;;1000,0
venezuela;30206307;2,8888E7;2,2803409E7;;;;2,6414816E7;2,6749E7;;2,7635743E7;;2,5375281E7;;;;;2,6749E7;;2,8256E7;2,6814843E7;2,8888E7
vietnam;90710000;8,5789573E7;;;;;8,611656E7;8,4238E7;;;;8,3535576E7;;8,8361983E7;;;8,4238E7;;;;8,5789573E7
yemen;25235000;2,4256E7;;2,1456188E7;;;2,3013376E7;2,0975E7;;;;2,0727063E7;;;;;2,0975E7;;4,776E7;2,2858238E7;2,4256E7
zambia;15023315;1,3257E7;;;;;1,1669534E7;1,1668E7;;;;1,1261795E7;;1,2926409E7;1688359,0;1455842,0;1,1668E7;;1,2138E7;1,186274E7;1,3257E7
zimbabwe;13061239;1,2644E7;;;;;1,1350111E7;1,301E7;;;;1,2160782E7;;1,2644041E7;;1,1376676E7;1,301E7;;1,458E7;1,1392629E7;1,2644E7
