country;area;newCol0;newCol1;newCol2;newCol3;newCol4;newCol5;newCol
kyrgyzstan;199900.0;76641.25;198500.0;;;76641.0;;76641.25
laos;236800.0;91428.95;236800.0;;;91429.0;;91428.95
latvia;64589.0;24937.94;64589.0;;;24938.0;;24937.94
lebanon;10452.0;4015.46;10400.0;10230.0;;4015.0;10230.0;4015.46
lesotho;30355.0;11720.13;30355.0;;30355.0;11720.0;;11720.13
liberia;111370.0;43000.18;111370.0;;111370.0;38250.0;;43000.18
libya;1759540.0;679361.91;1759540.0;1759540.0;1759540.0;679362.0;1759540.0;679361.91
liechtenstein;160.0;;160.0;;;62.0;;160.0
lithuania;65200.0;25173.85;65200.0;;;25175.0;6530091.0;25173.85
luxembourg;2586.0;;2586.0;2586.0;;998.0;2586.0;2586.0
macedonia;25713.0;9781.12;25333.0;;;9928.0;;9781.12
madagascar;587041.0;226657.32;587040.0;;587040.0;226658.0;;226657.32
malawi;118484.0;45745.36;118480.0;;118480.0;45747.0;;45745.36
malaysia;329847.0;127317.13;329750.0;328550.0;;127320.0;328550.0;127317.13
maldives;300.0;;300.0;300.0;;115.0;300.0;300.0
mali;1240000.0;478766.48;1240000.0;;1240000.0;478840.0;;478766.48
malta;316.0;;316.0;316.0;;122.0;316.0;316.0
marshall islands;181.0;;181.0;;;70.0;;181.0
mauritania;1030700.0;397955.33;1030700.0;;1030700.0;397955.0;;397955.33
mauritius;2040.0;;2040.0;;2040.0;790.0;;2040.0
mexico;1972550.0;761605.5;1972550.0;;;756066.0;1923040.0;761605.5
moldova;33843.0;13066.85;33843.0;33371.0;;13008.0;33371.0;13066.85
monaco;1.95;;2.0;;;1.0;;2.0
mongolia;1564116.0;604249.63;1564116.0;;;604250.0;;604249.63
montenegro;13812.0;;14026.0;;;5333.0;;14026.0
morocco;446550.0;172413.85;446550.0;;446550.0;172414.0;;172413.85
mozambique;801590.0;309495.5;801590.0;;801590.0;309496.0;;309495.5
namibia;825418.0;318695.54;825418.0;;825418.0;318252.0;;318695.54
nauru;21.0;;21.0;;;8.0;;21.0
nepal;147181.0;54363.16;147181.0;;;54362.0;143181.0;54363.16
netherlands;41526.0;16033.27;41526.0;33883.0;;16033.0;33883.0;16033.27
new zealand;268680.0;103737.89;268680.0;268021.0;;104454.0;268021.0;103737.89
nicaragua;129494.0;49997.89;129494.0;;;50893.0;;49997.89
niger;1267000.0;489191.23;1267000.0;;1267000.0;489191.0;;489191.23
nigeria;923768.0;356668.67;923768.0;;923768.0;356669.0;;356668.67
niue;260.0;;260.0;;;;;260.0
north korea;120538.0;;120540.0;120410.0;;46540.0;1.2053885E7;120540.0
northern cyprus;3355.0;;;;;;;
norway;323802.0;125181.99;323802.0;;;125016.0;307442.0;125181.99
pakistan;803940.0;310402.84;803940.0;;;307293.0;778720.0;310402.84
palau;458.0;;458.0;;;;;458.0
palestine;6020.0;;;;;;;
panama;78200.0;30193.18;78200.0;;;29157.0;;30193.18
papua new guinea;462840.0;178703.45;462840.0;;;178704.0;;178703.45
paraguay;406752.0;157046.99;406750.0;;;157048.0;;157046.99
peru;1285220.0;496226.01;1285220.0;;;496225.0;;496226.01
philippines;300000.0;;300000.0;;;115830.0;298170.0;300000.0
poland;312685.0;120728.3;312685.0;;;120725.0;304459.0;120728.3
portugal;92391.0;35672.35;92391.0;;;35553.0;;35672.35
qatar;11437.0;;11437.0;11437.0;;4416.0;11437.0;11437.0
republic congo;342000.0;;;;;;;
romania;238391.0;91699.23;237500.0;238392.0;;91700.0;230340.0;91699.23
russia;17075200.0;6592768.87;1.70752E7;1.69958E7;;6592850.0;1.69958E7;6592768.87
rwanda;26338.0;10169.15;26338.0;24948.0;26338.0;10169.0;24948.0;10169.15
s o tom pr ncipe;964.16;;;;1001.0;;;1001.0
saint kitts nevis;261.0;;261.0;;;;;261.0
saint lucia;616.0;;616.0;;;;;616.0
saint vincent grenadines;389.0;;;;;;;
samoa;2831.0;;2944.0;;;1093.0;;2944.0
san marino;61.0;;61.0;;;24.0;;61.0
saudi arabia;2149690.0;756984.63;2149690.0;2149690.0;;864869.0;2149690.0;756984.63
senegal;196722.0;75749.35;196190.0;;196190.0;75955.0;;75749.35
serbia;88361.0;;77474.0;;;34116.0;;77474.0
seychelles;455.0;;455.0;455.0;455.0;175.0;455.0;455.0
sierra leone;71740.0;27698.96;71740.0;;71740.0;27699.0;;27698.96
singapore;710.0;267.57;693.0;692.0;;247.0;682.7;267.57
slovakia;48845.0;18859.15;48845.0;;;18932.0;;18859.15
slovenia;20273.0;7827.45;20273.0;20151.0;;7820.0;20151.0;7827.45
solomon islands;28896.0;;28450.0;;;10980.0;;28450.0
somalia;637657.0;246200.64;637657.0;;637657.0;246200.0;;246200.64
somaliland;176210.0;;;;;;;
south africa;1219912.0;471010.46;1219912.0;1219912.0;1219912.0;472731.0;1219912.0;471010.46
south korea;99538.0;;98480.0;98190.0;;38375.0;98190.0;98480.0
south ossetia;3900.0;;;;;;;
south sudan;619745.0;;;;;;;
spain;504782.0;194897.34;504782.0;499542.0;;194897.0;499542.0;194897.34
sri lanka;65610.0;25332.15;65610.0;;;25326.0;;25332.15
sudan;1886068.0;728215.12;2505810.0;;2505810.0;967490.0;;728215.12
suriname;163270.0;;163270.0;;;63037.0;;163270.0
